claim_group,artifact,substrate_or_family,surface_result,internal_or_control_result,key_metric,value,interpretation
dual_gru_interiors,data/substrate_lab/dual_gru_family_summary.json,dual_gru_v3b:current,FIXED_POINT 8/8,accumulating_fixed_point 8/8,mean_message_norm,23.108565038979357,Same surface attractor class can hide an accumulating interior.
dual_gru_interiors,data/substrate_lab/dual_gru_family_summary.json,dual_gru_v3b:current,FIXED_POINT 8/8,accumulating_fixed_point 8/8,mean_bottleneck_code_entropy,1.7778541394614182,Message/bottleneck structure remains active under a fixed surface label.
dual_gru_interiors,data/substrate_lab/dual_gru_family_summary.json,dual_gru_v3b:tight,FIXED_POINT 8/8,tight_fixed_point 6; accumulating_fixed_point 2,interior_class_count,2,One fixed-point surface class splits into multiple basin interiors.
dual_gru_interiors,data/substrate_lab/dual_gru_family_summary.json,dual_gru_v3b:threshold,FIXED_POINT 8/8,tight_fixed_point 5; accumulating_fixed_point 3,interior_class_count,2,Threshold variant preserves multiple hidden interior classes under fixed surface behavior.
dual_gru_interiors,data/substrate_lab/dual_gru_family_summary.json,dual_gru_v3,FIXED_POINT 8/8,tight_fixed_point 6; accumulating_fixed_point 2,interior_class_count,2,Older dual-GRU line also separates fixed-point interiors.
capsule_continuity,data/substrate_lab/v9_capsule_continuity_20260511/summary.json,demian_native_v9,full capsule resumes; surface-only fails,full_capsule_max_mean_gap 0.0; surface_only_min_mean_gap 0.2262487313710153,full_capsule_min_final_cosine,0.9999998807907104,Full internal state is sufficient for continuation where exposed surface alone is not.
capsule_continuity,data/substrate_lab/v9_capsule_continuity_20260511/summary.json,v9_five_channel,full capsule resumes; surface-only fails,full_capsule_max_mean_gap 0.0; surface_only_min_mean_gap 0.27455845288932323,full_capsule_min_final_cosine,0.9999998807907104,Five-channel continuity is distributed beyond the exposed surface.
baseline_recovery,data/diagnostics/gate_state_truth_campaign_20260516_3trackb_multisurgery/baseline_comparison_summary.json,rnn,matched pseudo-channel perturbation,recovery_window_mean_gap_mean 0.00011105483848378059,final_l2_gap_mean,1.191649398416909e-7,Plain recurrent baseline recovers almost exactly under this protocol.
baseline_recovery,data/diagnostics/gate_state_truth_campaign_20260516_3trackb_multisurgery/baseline_comparison_summary.json,gru,matched pseudo-channel perturbation,recovery_window_mean_gap_mean 0.00014431940077426763,final_l2_gap_mean,5.181779627605465e-8,GRU baseline recovers almost exactly under this protocol.
baseline_recovery,data/diagnostics/gate_state_truth_campaign_20260516_3trackb_multisurgery/baseline_comparison_summary.json,lstm,matched pseudo-channel perturbation,recovery_window_mean_gap_mean 0.00006132533965040463,final_l2_gap_mean,4.4574103223264196e-8,LSTM baseline recovers almost exactly under this protocol.
baseline_recovery,data/diagnostics/gate_state_truth_campaign_20260516_3trackb_multisurgery/baseline_comparison_summary.json,diag_ssm,matched pseudo-channel perturbation,recovery_window_mean_gap_mean 0.0023656015355316877,final_l2_gap_mean,0.06503748521208763,Diagonal SSM shows larger perturbation consequence than RNN/GRU/LSTM.
baseline_recovery,data/diagnostics/gate_state_truth_campaign_20260516_3trackb_multisurgery/baseline_comparison_summary.json,demian_native_v8,matched pseudo-channel perturbation,recovery_window_mean_gap_mean 0.0039061478739458254,final_l2_gap_mean,0.22057700032989183,Native v8 shows larger perturbation consequence under this diagnostic.
baseline_recovery,data/diagnostics/gate_state_truth_campaign_20260516_3trackb_multisurgery/baseline_comparison_summary.json,demian_native_v9,matched pseudo-channel perturbation,recovery_window_mean_gap_mean 0.0005308526333246331,final_l2_gap_mean,0.003220522776246071,Native v9 is closer to recovery than v8 but still above plain recurrent baselines.
architecture_context,data/mamba_batch/mamba_batch_summary.json,mamba_cache,self-reference run,three identical 1000-step cached runs,autocorr_lag2,0.14951640517688997,Mamba cache condition belongs as architectural context rather than central proof.
architecture_context,data/mamba_batch/mamba_batch_summary.json,mamba_no_cache,self-reference run,three identical 1000-step no-cache runs,period2_switches,570,Mamba no-cache condition shows different recurrence primitive from cached condition.
claim_discipline,data/diagnostics/gate_state_truth_campaign_20260516_3trackb_multisurgery/truth_campaign_summary.json,track_b_truth,strong gate-state mechanism name demoted,held_out_track_b_strict_pass_rate 0.0,strict_profile_gate_pass,0/2,Negative control keeps this paper focused on measurement rather than overclaimed mechanism naming.
